Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
Camutanga (PE),38.0,206.1,83.91301671,67.36,47.66,2.37,42.93,81.04,0.56,52.91,53.92,0.632,74.25,65.47,3.47,3040,3661,427,561,7488,7844,6016,1828,PE,Grupo 1
Cana Verde (MG),211.5,26.8,184.9293155,73.48,19.07,2.18,18.91,190.35,0.49,39.69,31.99,0.747,68.11,83.72,3.96,2806,3140,396,514,5602,5664,3191,2473,MG,Grupo 1
Canaã (MG),175.6,27.3,169.477144,66.12,41.7,3.27,25.77,124.54,0.58,44.7,49.3,0.678,73.0,79.09,3.62,2391,2457,321,365,5411,4789,1419,3370,MG,Grupo 1
Canaã dos Carajás (PA),3161.5,3.4,580.4810098,65.72,42.16,3.17,25.29,167.46,0.62,61.35,49.04,0.7,74.7,81.5,3.35,2565,4545,67,260,6698,10922,3924,6998,PA,Grupo 1
CanaBrava do Norte (MT),3463.7000000000003,1.5,683.6441777,67.42,32.99,4.04,22.12,124.88,0.59,64.72,54.99,0.693,71.25,83.29,3.77,1225,2086,77,166,3163,4989,1835,3154,MT,Grupo 1
Cananéia (SP),1244.5,9.8,208.9764937,73.85,11.32,3.34,13.57,229.18,0.59,49.37,43.44,0.775,70.8,89.11,5.55,4653,5891,587,799,10087,12298,10204,2094,SP,Grupo 1
Canapi (AL),574.3000000000001,30.2,213.5752274,58.09,73.6,6.09,62.55,43.35,0.69,71.37,73.36,0.507,75.63,47.36,1.67,6485,6751,911,1029,18630,17334,4112,13222,AL,Grupo 1
Canarana (BA),657.3000000000001,33.0,381.448887,56.32,78.54,2.81,30.52,87.74,0.61,56.52,60.2,0.601,76.35,76.02,3.15,7177,9560,800,1211,18879,21665,9755,11910,BA,Grupo 1
Canarana (MT),10874.4,1.4,479.9864941,69.31,27.3,3.28,15.44,308.69,0.62,49.0,42.91,0.761,74.64,84.74,5.02,3782,7042,238,540,9770,15408,11657,3751,MT,Grupo 1
Canas (SP),50.9,70.8,186.8087059,70.64,16.97,2.68,10.39,180.88,0.48,56.39,40.76,0.753,76.93,90.13,5.21,1269,1819,112,208,2760,3614,3041,573,SP,Grupo 1
Canavieira (PI),1887.9,2.2,306.1100262,63.72,46.83,3.53,36.67,63.16,0.57,60.3,62.88,0.601,71.82,68.0,3.12,1414,1745,189,269,3960,4114,1854,2260,PI,Grupo 1
Canavieiras (BA),1380.5,25.5,304.1124867,62.59,51.06,2.8,31.19,120.98,0.61,45.13,47.42,0.639,70.95,72.3,3.56,13444,16037,1658,2363,33019,35322,26343,8979,BA,Grupo 1
Canápolis (BA),466.1,20.9,616.210271,65.21,41.57,2.6,44.54,77.34,0.61,55.35,59.73,0.625,82.33,64.56,2.38,3739,4230,533,617,9475,9743,2538,7205,BA,Grupo 1
Canápolis (MG),848.0,12.5,563.6659479,72.45,21.73,2.57,17.96,199.65,0.52,46.97,33.31,0.755,74.8,85.19,4.35,7549,5730,578,684,15990,10633,9010,1623,MG,Grupo 1
Candeal (BA),456.2,22.2,145.1042435,62.77,50.36,2.73,37.82,72.09,0.53,49.88,55.41,0.61,78.02,68.06,3.09,4282,4727,775,848,10728,10121,3417,6704,BA,Grupo 1
Candeias (BA),265.5,289.1,33.94715572,66.06,38.73,2.23,17.86,149.38,0.56,53.92,52.73,0.719,86.8,86.47,5.21,26040,34607,1730,2707,67941,76783,69127,7656,BA,Grupo 1
Candeias (MG),722.5,20.0,173.4069447,70.39,27.5,2.07,22.52,208.48,0.52,34.51,33.3,0.723,63.08,80.75,3.83,7143,8361,958,1306,13609,14461,9172,5289,MG,Grupo 1
Candeias do Jamari (RO),6867.6,1.9,23.45622149,63.12,39.9,4.03,19.56,133.56,0.54,54.19,47.13,0.671,70.43,83.18,4.04,3675,5348,189,383,9465,13107,9354,3753,RO,Grupo 1
Candelária (RS),940.1,31.4,155.5990352,71.7,17.59,2.3,14.0,201.4,0.55,39.05,43.54,0.756,75.12,87.37,4.46,14783,17380,2010,2780,26980,29585,13800,15785,RS,Grupo 1
Candiba (BA),399.4,30.4,496.7421471,68.99,29.73,2.45,40.01,75.75,0.57,57.99,59.81,0.645,76.2,67.83,2.81,5189,6079,681,924,12610,12124,6159,5965,BA,Grupo 1
Candiota (RS),597.2,13.5,288.2439024,75.2,10.97,2.3,9.35,265.15,0.57,59.01,51.43,0.818,89.31,92.34,5.96,3310,4126,195,274,6620,8065,2657,5408,RS,Grupo 1
Candói (PR),1526.3,9.3,287.2176566,66.08,28.06,2.85,15.59,178.83,0.64,50.67,49.33,0.712,71.52,85.83,3.79,4780,6477,332,548,11982,14185,5158,9027,PR,Grupo 1
Canela (RS),252.9,132.9,84.20294207,75.81,9.96,2.07,8.26,310.93,0.52,32.53,36.55,0.818,76.15,93.3,5.8,11936,17601,1226,1849,24801,33625,30760,2865,RS,Grupo 1
Canelinha (SC),151.4,59.5,42.74961608,76.04,11.49,2.63,14.16,260.27,0.46,50.57,33.28,0.795,73.83,88.21,4.73,3784,4674,462,517,8165,9004,4292,4712,SC,Grupo 1
Canguaretama (RN),280.3,96.2,65.60344197,62.99,58.34,4.15,45.74,71.73,0.58,57.15,59.4,0.6,79.92,61.98,3.05,8557,11295,1283,1520,22919,27011,16924,10087,RN,Grupo 1
Canguçu (RS),3520.6,14.6,204.9052308,71.59,17.81,2.49,14.55,177.84,0.51,41.1,44.82,0.743,69.83,87.03,4.09,27609,30674,3800,4832,50367,51447,17695,33752,RS,Grupo 1
Canhoba (SE),165.8,23.9,86.42002873,62.17,52.67,3.4,43.36,67.06,0.55,48.24,58.43,0.597,79.28,64.61,2.96,1453,1654,218,224,3863,3965,1595,2370,SE,Grupo 1
Canhotinho (PE),423.0,58.9,170.8662239,62.57,69.72,3.38,51.7,84.07,0.62,54.42,58.25,0.588,78.15,54.89,2.58,9910,11415,1699,1939,24576,24920,12261,12659,PE,Grupo 1
Canindé (CE),3205.4,21.7,111.1525713,67.29,42.64,3.31,41.77,77.17,0.62,58.89,61.87,0.634,80.63,64.58,2.9,25305,30744,3813,4898,61827,69601,39573,30028,CE,Grupo 1
Canindé de São Francisco (SE),908.2,19.5,161.2840357,60.02,61.42,3.65,46.63,91.65,0.67,64.87,62.99,0.58,73.62,57.4,2.58,3827,6548,334,599,11473,17754,9303,8451,SE,Grupo 1
Canitar (SP),57.5,60.5,326.8204095,70.78,16.7,2.78,19.39,177.25,0.46,31.32,30.5,0.738,76.76,83.87,4.06,1073,1665,122,183,2433,3481,2678,803,SP,Grupo 1
Canoas (RS),131.1,2331.9,13.52416787,71.39,18.25,2.28,5.28,353.17,0.53,58.91,44.7,0.815,84.84,95.64,6.87,138786,165093,11680,17534,269258,306093,306093,0,RS,Grupo 7
Canoinhas (SC),1143.6,45.1,241.2157306,69.85,26.36,2.89,6.71,254.27,0.61,44.76,40.44,0.78,80.37,94.23,6.03,22326,26059,2014,2783,50371,51631,37904,13727,SC,Grupo 1
Cansanção (BA),1324.9,24.1,277.2025263,56.36,78.33,3.79,49.4,56.3,0.66,66.49,67.36,0.538,73.25,60.29,1.93,11754,13886,1876,2267,30903,31947,9221,22726,BA,Grupo 1
Cantagalo (MG),142.3,27.0,200.0883435,66.85,39.05,2.53,26.33,105.01,0.62,56.04,56.18,0.674,76.91,77.78,3.15,1127,1717,166,297,2762,3838,1979,1859,MG,Grupo 1
Cantagalo (RJ),719.3000000000001,27.5,133.9369233,72.2,14.15,2.24,15.68,254.14,0.57,32.21,39.4,0.779,81.45,87.42,5.56,9528,10792,1157,1513,19672,19835,13698,6137,RJ,Grupo 1
Cantagalo (PR),593.4,21.6,286.4352188,62.97,37.23,3.22,19.72,150.73,0.64,52.04,52.13,0.686,73.72,85.23,3.85,4653,5973,406,627,11443,12810,7312,5498,PR,Grupo 1
Cantanhede (MA),844.1,20.7,122.840082,55.91,80.56,4.14,50.36,39.5,0.55,56.75,66.65,0.522,76.53,61.44,2.45,4971,6501,727,957,12838,17713,8526,9187,MA,Grupo 1
Cantá (RR),7691.0,1.1,24.81313177,64.08,41.15,4.05,31.11,115.78,0.61,46.93,55.0,0.659,80.28,74.04,3.6,1799,3435,122,234,4744,8571,1155,7416,RR,Grupo 1
Canto do Buriti (PI),4419.400000000001,4.2,336.0591758,64.23,45.01,3.0,41.16,100.98,0.56,38.65,49.92,0.616,67.62,63.64,2.78,6866,8308,887,1152,17958,18371,10154,8217,PI,Grupo 1
Canudos (BA),3000.6,4.6000000000000005,347.5561898,60.34,60.08,3.63,41.16,75.3,0.55,56.05,57.45,0.599,78.7,67.83,2.83,5373,6135,871,929,13762,13761,7012,6749,BA,Grupo 1
Canutama (AM),29946.5,0.5,614.9965937,61.25,63.34,4.06,51.19,63.91,0.73,72.13,72.59,0.546,49.84,60.3,2.46,3624,3786,158,267,12152,10737,5439,5298,AM,Grupo 1
Capanema (PA),613.4,93.1,149.7850052,70.24,27.12,2.63,22.16,143.07,0.6,45.96,49.44,0.729,83.91,82.88,4.91,19541,24603,2106,3009,51166,57119,46329,10790,PA,Grupo 1
Capanema (PR),419.0,43.5,455.5347598,76.44,7.64,2.91,11.08,233.22,0.51,30.21,32.6,0.803,80.79,89.99,4.94,9260,10111,913,1258,19368,18239,9311,8928,PR,Grupo 1
Caparaó (MG),104.9,47.7,228.382907,72.82,20.75,3.26,27.9,184.72,0.52,38.0,39.05,0.716,56.76,77.59,3.5,1910,2328,204,239,4530,5000,1806,3194,MG,Grupo 1
Capâo Bonito (SP),1644.7,28.4,181.4727246,65.41,28.96,2.73,14.21,184.95,0.6,54.86,48.71,0.716,72.21,88.4,4.7,20285,22763,2102,2615,46446,46732,36587,10145,SP,Grupo 1
Capão Alto (SC),1350.7,2.2,196.6713477,66.97,35.45,3.16,14.58,177.89,0.57,31.96,40.19,0.725,77.86,86.8,4.08,1568,1645,165,246,3261,3020,604,2416,SC,Grupo 1
Capão da Canoa (RS),96.7,314.2,119.4842129,72.48,15.98,2.93,7.27,301.42,0.57,67.07,43.09,0.806,82.72,93.68,6.18,8943,15467,725,1460,18943,30498,30334,164,RS,Grupo 1
Capão do Leão (RS),784.0,30.2,226.3838823,72.69,15.56,2.39,13.08,175.27,0.5,57.59,47.11,0.77,84.17,89.85,4.79,9469,12615,960,1435,18894,23718,21354,2364,RS,Grupo 1
Capela (AL),206.2,90.4,46.92502342,62.48,53.51,3.59,51.68,72.18,0.59,44.54,58.53,0.569,69.02,54.61,2.87,6892,7672,845,960,18777,18693,12227,6466,AL,Grupo 1
Capela (SE),431.9,60.9,45.38439784,62.74,50.48,4.23,44.99,78.28,0.57,54.46,57.81,0.615,81.81,66.56,3.16,9652,11296,1370,1670,25105,26518,16095,10423,SE,Grupo 1
Capela de Santana (RS),181.7,55.2,38.11851678,72.04,16.88,2.36,10.47,204.38,0.46,45.47,37.47,0.764,71.74,91.31,4.66,3744,5296,393,596,7476,10032,6277,3755,RS,Grupo 1
Capela do Alto (SP),170.4,82.0,112.3102199,69.31,19.68,2.88,13.71,195.94,0.5,64.15,35.94,0.748,77.04,89.43,4.5,4799,7042,504,771,10771,14247,11111,3136,SP,Grupo 1
Capela do Alto Alegre (BA),658.2,18.0,204.2459272,65.37,41.04,2.73,44.99,104.52,0.54,47.75,51.74,0.634,78.44,62.93,2.31,6631,5761,734,1011,17142,11898,4533,7365,BA,Grupo 1
Capela Nova (MG),111.3,44.6,127.8427604,70.06,28.49,2.46,18.94,117.53,0.49,35.17,40.95,0.712,73.85,85.59,4.05,2665,2845,410,501,5140,4964,2066,2898,MG,Grupo 1
Capelinha (MG),969.6,32.0,280.64872,66.6,39.97,4.75,35.23,144.83,0.58,45.01,44.45,0.673,70.64,73.3,3.42,9817,12899,966,1359,26074,31231,20066,11165,MG,Grupo 1
Capetinga (MG),297.6,24.9,335.0124067,73.29,19.57,2.49,18.45,229.55,0.52,55.77,33.4,0.764,71.86,85.28,4.29,3519,3955,377,527,7300,7424,5909,1515,MG,Grupo 1
Capim (PB),100.3,38.9,40.62458832,57.83,71.21,3.88,65.85,65.19,0.54,53.93,56.22,0.519,75.47,43.36,1.52,1540,1731,224,258,4337,4180,3656,524,PB,Grupo 1
Capim Branco (MG),94.5,83.4,34.21419512,70.63,26.79,2.62,13.01,180.1,0.48,57.84,37.19,0.751,76.82,89.29,4.92,3198,4061,384,551,6344,7900,7146,754,MG,Grupo 1
Capim Grosso (BA),351.5,67.8,240.4812884,57.65,72.08,2.67,35.23,106.09,0.58,53.48,51.96,0.607,76.92,70.3,3.07,7433,10640,961,1536,19659,23908,17861,6047,BA,Grupo 1
Capinópolis (MG),623.2,23.1,602.2655158,72.21,22.38,2.05,21.33,238.84,0.59,56.29,40.6,0.766,81.06,83.05,4.65,7193,8108,764,1086,15060,14403,13140,1263,MG,Grupo 1
Capinzal (SC),224.8,88.8,303.2821079,73.73,16.34,2.2,9.34,263.41,0.5,62.12,42.61,0.813,91.6,93.0,5.16,7293,10290,634,921,15562,19955,15460,4495,SC,Grupo 1
Capinzal do Norte (MA),643.1,16.3,244.2562593,56.56,77.35,3.62,49.72,56.95,0.52,47.48,59.88,0.543,77.92,59.39,2.4,3826,4482,544,677,9608,10543,4024,6519,MA,Grupo 1
Capistrano (CE),186.9,84.7,92.6049071,68.33,38.89,3.24,45.61,56.31,0.59,67.68,65.19,0.631,91.64,62.75,2.83,6050,6807,996,1209,15559,15830,5252,10578,CE,Grupo 1
Capitão (RS),70.10000000000001,36.6,112.1580471,71.26,18.52,2.05,5.72,288.16,0.43,26.1,30.8,0.788,74.41,94.12,4.82,1601,1565,240,251,2744,2565,857,1708,RS,Grupo 1
Capitão Andrade (MG),277.2,15.5,235.1001349,68.16,34.51,2.8,35.74,122.45,0.51,38.56,43.97,0.676,73.48,73.25,3.11,2044,2224,325,402,4492,4306,2624,1682,MG,Grupo 1
Capitão de Campos (PI),535.3,18.8,118.1474444,64.33,44.64,3.12,45.99,62.15,0.67,68.29,67.96,0.603,84.22,61.63,2.79,3812,4349,470,668,10161,10036,5641,4395,PI,Grupo 1
Capitão Enéas (MG),973.7,13.4,389.003751,67.36,37.25,3.61,34.47,101.68,0.58,42.07,49.51,0.667,79.66,72.98,3.72,4435,5510,472,601,11731,13113,9967,3146,MG,Grupo 1
Capitão Gervásio Oliveira (PI),1516.7,2.3000000000000003,393.1411745,62.13,52.82,3.38,46.76,53.39,0.58,58.37,64.32,0.58,80.04,62.52,1.49,902,1547,137,236,2502,3433,358,3075,PI,Grupo 1
Capitão Leônidas Marques (PR),220.8,65.2,435.5677845,67.6,24.15,2.73,14.49,244.61,0.65,56.24,48.96,0.751,78.55,88.51,4.85,5723,7349,579,829,12961,14377,9753,4624,PR,Grupo 1
Capitão Poço (PA),2727.0,18.3,163.0332304,64.28,47.69,4.43,44.43,92.98,0.65,52.86,56.66,0.615,68.26,65.11,2.62,14839,18431,1276,1937,45452,49769,21121,28648,PA,Grupo 1
Capitólio (MG),523.5,14.8,235.6660898,74.04,17.7,2.07,12.81,252.49,0.44,47.38,30.61,0.785,73.82,89.25,4.91,3598,4446,408,571,6823,7737,5658,2079,MG,Grupo 1
Capivari (SP),324.0,127.9,108.163273,73.73,11.52,2.46,9.2,319.72,0.5,56.68,37.62,0.803,73.35,92.39,5.99,16767,21795,2024,2694,34220,41468,33484,7984,SP,Grupo 1
Capivari de Baixo (SC),47.0,394.9,102.4150492,75.71,12.14,2.14,6.1,229.25,0.43,65.95,43.27,0.812,85.24,93.99,6.27,7963,9839,669,894,16216,18561,17436,1125,SC,Grupo 1
Capivari do Sul (RS),413.6,7.5,69.86196001,73.65,13.73,2.93,10.93,322.97,0.57,56.58,35.46,0.807,79.89,90.97,5.19,1258,1746,94,172,2458,3107,2413,694,RS,Grupo 1
Capixaba (AC),1724.0,3.0,68.04579367,63.24,41.58,4.43,45.27,108.16,0.59,40.74,50.93,0.607,63.75,62.28,2.42,1455,2125,126,165,3795,5206,1521,3685,AC,Grupo 1
Capoeiras (PE),344.3,56.8,206.3143562,63.33,65.97,2.65,49.36,73.2,0.51,48.34,53.45,0.593,83.27,56.07,2.48,7790,8494,1295,1425,19577,19556,4843,14713,PE,Grupo 1
Caputira (MG),188.7,46.6,180.3182351,64.9,46.36,2.77,23.02,176.03,0.58,38.16,41.89,0.693,66.71,83.19,3.57,3382,4224,469,597,7826,8834,3434,5400,MG,Grupo 1
Caraã (RS),295.3,21.7,81.19436792,74.04,13.01,2.48,21.21,153.23,0.49,42.89,43.45,0.734,67.72,81.86,3.63,3741,3911,587,733,6929,6403,471,5932,RS,Grupo 1
Caracaraí (RR),47623.6,0.3,122.4690125,66.87,32.17,4.35,26.26,159.41,0.61,60.52,56.36,0.702,82.31,77.19,4.18,3089,5334,171,389,8358,14286,8236,6050,RR,Grupo 1
Caracol (PI),452.1,17.8,469.2159061,64.08,45.53,3.06,48.57,72.66,0.65,62.32,65.55,0.595,77.7,57.93,2.69,2446,3212,350,456,7075,8040,3013,5027,PI,Grupo 1
Caracol (MS),2946.3,1.6,301.8904677,70.69,23.61,3.08,19.35,148.37,0.56,40.77,41.84,0.725,69.51,86.2,3.99,1700,2159,166,238,3930,4592,2760,1832,MS,Grupo 1
Caraguatatuba (SP),484.8,162.6,124.8049772,71.99,14.46,2.38,9.31,326.91,0.56,67.52,49.48,0.802,81.07,91.98,6.25,24422,40502,2429,4186,52878,78921,75251,3670,SP,Grupo 1
Caraí (MG),1244.2,16.8,376.8673274,66.88,38.95,4.13,45.79,84.13,0.56,42.46,53.17,0.636,78.74,65.33,2.4,8184,8770,992,1379,21778,20981,6701,14280,MG,Grupo 1
Caraíbas (BA),1274.2,13.5,354.4554695,60.41,59.81,2.76,50.15,74.29,0.6,51.92,57.49,0.578,73.15,61.27,1.53,5733,7927,921,1386,14398,17164,1424,15740,BA,Grupo 1
Carambeí (PR),647.8000000000001,22.9,100.3915172,69.75,19.21,2.66,10.11,276.06,0.57,52.76,37.19,0.785,84.97,92.42,5.33,4808,6949,373,579,11501,14860,10494,4366,PR,Grupo 1
Caranaíba (MG),160.5,21.6,119.828152,70.18,28.12,2.14,18.56,107.65,0.53,31.38,43.53,0.706,73.07,85.28,3.81,1571,1781,205,240,3461,3478,1176,2302,MG,Grupo 1
Carandaí (MG),487.7,43.1,127.3057954,72.47,21.67,2.19,11.42,157.87,0.55,49.34,43.1,0.76,81.02,90.08,4.84,9013,11170,931,1273,18833,21057,15781,5276,MG,Grupo 1
Carangola (MG),356.8,89.4,225.1750602,72.02,22.88,2.38,16.06,319.85,0.63,40.14,38.67,0.783,75.78,86.49,5.58,16170,17792,2333,2802,31015,31921,24740,7181,MG,Grupo 1
Carapebus (RJ),306.40000000000003,28.2,177.5834925,67.63,23.54,2.35,15.9,203.22,0.46,39.76,40.01,0.74,80.89,87.28,4.79,3065,4759,397,604,6350,8666,6875,1791,RJ,Grupo 1
Carapicuíba (SP),35.0,9819.1,20.56375348,71.35,15.62,2.02,7.92,275.56,0.48,80.62,51.49,0.793,81.58,93.73,6.0,126177,169567,6563,10541,283661,344596,344596,0,SP,Grupo 7
Caratinga (MG),1254.5,62.0,189.9871659,70.07,28.45,2.12,17.03,242.42,0.61,41.09,40.03,0.754,74.41,86.13,5.23,34077,40168,4058,5379,74363,77789,62338,15451,MG,Grupo 1
Carauari (AM),25881.2,0.9,786.9118229,61.25,63.34,5.38,53.83,81.4,0.78,71.48,70.09,0.575,70.08,57.16,2.38,5630,7310,458,678,19298,23421,16876,6545,AM,Grupo 1
Caraúbas (RN),1099.9,17.1,259.5767566,61.03,66.99,2.36,40.03,86.87,0.53,54.7,54.4,0.614,84.25,66.34,3.69,8845,9497,1442,1576,20248,18810,12304,6506,RN,Grupo 1
Caraúbas (PB),438.7,7.8,191.9479493,62.59,51.07,3.15,35.37,83.44,0.51,47.39,50.01,0.623,79.68,69.79,2.84,1388,1727,316,348,2806,3401,1074,2327,PB,Grupo 1
Caraúbas do Piauí (PI),470.7,10.2,208.3688187,58.64,67.49,3.31,68.53,49.73,0.54,51.81,62.19,0.487,61.79,40.17,1.41,1449,2033,191,286,3773,4809,635,4174,PI,Grupo 1
Caravelas (BA),2369.1,8.5,535.1881126,62.64,50.87,3.13,39.17,184.73,0.74,47.64,47.65,0.667,82.65,68.37,3.15,7628,8826,936,1252,19535,20103,10332,9771,BA,Grupo 1
Carazinho (RS),909.9,65.8,246.1020355,70.11,21.1,2.2,7.36,315.07,0.56,40.98,34.85,0.799,85.79,93.94,6.5,27422,33169,3246,4574,52688,59894,56276,3618,RS,Grupo 1
Carbonita (MG),1464.6,6.1000000000000005,273.025049,67.55,36.61,4.55,35.87,112.23,0.56,53.7,48.61,0.679,82.65,73.81,3.06,3272,4073,420,589,8195,8967,5562,3405,MG,Grupo 1
Cardeal da Silva (BA),195.7,41.0,129.5861565,60.81,58.11,5.02,40.77,69.82,0.6,53.19,61.47,0.602,81.85,68.08,2.59,2283,2978,360,430,6400,8034,2832,5202,BA,Grupo 1
Cardoso (SP),639.4,18.1,512.4793927,68.07,22.39,2.12,18.2,246.43,0.55,49.27,38.32,0.756,85.69,85.69,5.02,6205,6617,745,1056,12282,11605,10356,1249,SP,Grupo 1
Cardoso Moreira (RJ),516.3,24.4,227.0443846,67.04,24.95,2.55,23.47,166.05,0.52,35.01,36.71,0.706,76.75,80.31,3.85,6324,7020,937,1226,12819,12595,8041,4554,RJ,Grupo 1
Careaçu (MG),181.8,32.0,306.4360439,74.59,16.4,2.31,18.76,229.39,0.52,24.26,29.47,0.77,71.09,85.24,4.74,2634,3183,296,413,5507,5810,4248,1562,MG,Grupo 1
Careiro (AM),6124.3,5.7,83.26335396,66.57,41.29,3.2,33.9,72.41,0.66,65.04,66.5,0.63,63.8,74.39,2.83,9601,10462,381,937,31816,27554,5877,21677,AM,Grupo 1
Careiro da Várzea (AM),2643.0,6.2,25.73610584,67.89,36.59,3.32,27.56,84.49,0.56,46.25,53.97,0.658,67.56,78.14,3.01,6538,7024,654,805,18161,17267,806,16461,AM,Grupo 1
Cariacica (ES),285.8,1133.0,10.50675793,67.16,31.49,2.21,11.56,215.2,0.52,55.89,43.4,0.75,80.65,91.31,5.72,122010,160688,9565,14684,274357,324285,312980,11305,ES,Grupo 7
Caridade (CE),791.7,19.7,92.01462833,67.19,43.0,3.65,43.06,67.73,0.56,51.76,57.13,0.618,77.0,62.81,2.47,5037,6780,796,1116,12432,15604,8381,7223,CE,Grupo 1
Caridade do Piauí (PI),419.8,9.7,355.4545047,62.93,49.76,2.99,46.84,58.2,0.56,53.09,62.36,0.582,78.83,60.11,2.11,1365,1606,165,217,4099,4062,1091,2971,PI,Grupo 1
Carinhanha (BA),2762.2000000000003,9.8,586.382952,64.03,45.71,3.64,47.34,64.71,0.6,57.19,60.98,0.607,84.51,62.86,2.38,8614,10621,957,1346,25565,27272,10483,16789,BA,Grupo 1
Carira (SE),634.6,27.9,91.94532684,60.02,61.45,3.05,53.6,90.25,0.49,48.32,51.23,0.581,72.66,58.75,2.09,6276,8231,996,1261,15418,17770,9443,8327,SE,Grupo 1
Cariré (CE),711.2,26.7,215.5554712,66.99,43.77,3.48,46.51,67.34,0.6,56.45,60.14,0.622,82.52,62.24,2.39,7559,8581,1435,1591,17747,18617,5459,13158,CE,Grupo 1
Cariri do Tocantins (TO),1066.6,2.9,211.7882229,72.07,22.22,2.9,22.97,177.94,0.58,32.78,36.36,0.752,85.23,82.33,4.05,1600,1446,148,127,3967,2990,1942,1048,TO,Grupo 1
Caririaçu (CE),690.5,37.3,378.4565638,62.13,63.77,3.2,48.35,62.51,0.59,56.46,63.95,0.591,88.0,59.72,2.35,8059,10751,1284,1693,21318,25733,10618,15115,CE,Grupo 1
Cariús (CE),1055.9,17.5,330.6648366,69.78,33.91,3.57,45.06,65.61,0.65,71.52,68.04,0.63,81.64,60.27,2.49,7924,8863,1335,1478,17571,18444,7170,11274,CE,Grupo 1
Carlinda (MT),2426.9,5.1000000000000005,627.1517906,67.43,32.94,2.56,25.85,138.09,0.53,50.08,45.34,0.7,78.16,80.77,3.24,4507,5844,207,569,11045,12296,3074,9222,MT,Grupo 1
Carlos Barbosa (RS),208.1,98.6,85.85116625,75.44,10.57,2.01,3.71,446.22,0.42,60.68,42.76,0.858,89.68,96.39,6.32,9765,12192,1081,1387,17730,20519,15211,5308,RS,Grupo 1
Carlos Chagas (MG),3247.6,6.7,409.6539257,66.75,39.41,2.33,38.36,164.23,0.63,38.31,43.43,0.681,74.55,71.31,3.54,10154,11164,1381,1737,23287,21994,14190,7804,MG,Grupo 1
Carlos Gomes (RS),84.10000000000001,22.7,265.711193,75.16,11.03,2.12,7.1,165.34,0.46,35.58,41.73,0.782,78.41,93.53,4.44,900,1144,106,164,1872,1912,341,1571,RS,Grupo 1
Carlópolis (PR),452.4,29.4,227.1409232,67.38,24.69,2.68,18.87,204.96,0.58,32.24,34.95,0.727,73.95,85.31,4.73,5913,7015,671,980,12357,13305,8347,4958,PR,Grupo 1
Carmésia (MG),259.4,8.700000000000001,117.5499726,69.66,29.7,2.28,27.25,123.34,0.57,49.3,47.79,0.698,73.68,79.16,3.6,1009,1127,171,184,2242,2246,1155,1091,MG,Grupo 1
Carmo (RJ),354.7,43.1,124.0153832,70.48,17.37,2.12,15.2,270.97,0.6,53.31,44.28,0.763,74.03,86.53,5.29,7285,8601,958,1293,14163,15289,11056,4233,RJ,Grupo 1
Carmo da Cachoeira (MG),507.3,22.8,225.2930822,72.25,22.25,2.94,20.51,199.86,0.54,26.41,31.82,0.745,68.84,83.9,4.59,4671,5715,486,640,10279,11600,7527,4073,MG,Grupo 1
Carmo da Mata (MG),357.6,29.1,126.0408934,68.3,34.06,2.53,14.86,232.66,0.54,38.4,28.84,0.743,71.74,87.9,4.94,5135,5801,746,924,10231,10400,7668,2732,MG,Grupo 1
Carmo de Minas (MG),324.1,38.6,283.5737569,72.07,22.75,2.5,18.39,196.85,0.56,27.3,31.23,0.744,67.36,85.16,4.62,4991,6111,537,763,11291,12545,7730,4815,MG,Grupo 1
Carmo do Cajuru (MG),456.3,37.6,94.36742922,73.08,20.08,2.16,12.0,194.86,0.45,33.51,27.5,0.774,79.92,90.34,5.21,6876,9058,797,1078,14415,17157,14122,3035,MG,Grupo 1
Carmo do Paranaíba (MG),1311.1,22.5,263.4321199,74.76,16.01,2.11,12.56,277.91,0.58,40.38,29.87,0.792,73.61,88.53,5.1,13142,16098,1421,1959,27358,29460,24276,5184,MG,Grupo 1
Carmo do Rio Claro (MG),1065.8,18.5,259.2735486,73.96,17.89,2.49,13.41,215.09,0.7,34.3,24.43,0.772,73.2,88.04,5.43,8524,10611,1119,1422,17470,19732,13320,6412,MG,Grupo 1
Carmo do Rio Verde (GO),457.5,17.3,155.012958,68.95,23.97,2.22,20.43,174.27,0.54,43.12,38.17,0.728,80.16,82.51,4.55,3902,4391,346,521,8363,7941,5182,2759,GO,Grupo 1
Carmolândia (TO),353.7,5.7,348.3188445,60.71,60.44,2.96,35.23,115.21,0.6,55.77,50.22,0.631,76.86,71.66,3.41,610,872,53,87,1593,2008,1550,458,TO,Grupo 1
